Timestamp	I acknowledge that I have read the above Explanatory Statement and I agree to its terms.	For how long have you been active in the visualization community as an author/reviewer? 	Do you know what a pre-registration is?	How many pre-registrations have you written and submitted?	Do you know what a registered report is?	How well does this definition correspond to what you thought a Registered Report was?	As an author, would you find it helpful to have your study reviewed before you collect data?	Optionally, explain your previous answer or raise any further comments or concerns here	As a reviewer, how willing would you be to review a registered report? 	Optionally, explain your previous answer or raise any further comments or concerns here	As an author, if given the opportunity, how willing would you be to submit first a registered report, adjust your methodology based on reviewers' feedback, and then conduct the study and submit the final paper? 	Optionally, explain your previous answer or raise any further comments or concerns here	Ignoring the potential hurdles of implementing Registered Reports in visualization venues, would you be interested in RRs as a new and complementary publication model in the VIS community?	Optionally, explain your previous answer or raise any further comments or concerns here
07/10/2021 18:14:38	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Very helpful		Neutral		Eager		Very interested	
07/10/2021 18:17:30	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have written and submitted a registered report before	Very well	Very helpful	An RR should still have data, but it should be pilot data.	Neutral	Only if my review were public	Very eager		Very interested	
07/10/2021 18:29:25	Yes	> 10 years	I have a good understanding of what it is	> 5 pre-registrations	I have a good understanding of what it is	Very well	Somewhat helpful		Neutral		Neutral		Somehow interested	
07/10/2021 18:39:57	Yes	> 10 years	I have a good understanding of what it is	> 5 pre-registrations	I have a good understanding of what it is	Perfectly	Extremely helpful		Very eager	I would like to have simulated or pilot data available to test the analysis plan and get an idea of what the figures would look like.	Very eager		Very interested	
07/10/2021 18:41:14	Yes	< 5 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Very helpful	Having input from senior community members would be very insightful. I imagine that they may have encountered potential stumbling blocks in the past that I may not have considered.	Reluctant	Reviewing papers is already a non-negligible time commitment. I'm concerned that many researchers might not have the availability to also volunteer registered report reviews if there was suddenly a large influx of them.	Eager	I wonder if some user studies are more likely to need a registered report, while others might not really be in need of one. For example, are certain sample sizes, or types of data, more susceptible to HAARK-ing or unexpected outcomes?	Somehow interested	
07/10/2021 18:46:29	Yes	< 5 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Helpful		Very eager		Eager		Neutral	
07/10/2021 18:59:41	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	I have deep concerns about this as applied to qualitative research. While there are obviously methods to ensure rigor in qualitative work, they are quite different from quantitative studies and cannot be specified all in advance. It is the very nature of qualitative research that the subject of interest can adapt and change as the study progresses. Therefore the whole notion of pre-registration is out of alignment with this approach to research. Furthermore, I am deeply concerned that efforts that make preregistration (and registered reports) an expectation in vis will further marginalize qualitative research studies, which are already marginalized.	Neutral		Neutral	I really don't write many papers of this nature any more. Most of my work is qualitative and does not fit this structure.	Rather not interested	See my concerns above about marginalizing other types of empirical research.
07/10/2021 19:01:17	Yes	< 5 years	I have a good understanding of what it is	0 pre-registration	I have a good understanding of what it is	Very well	Helpful		Eager		Very eager		Very interested	
07/10/2021 19:35:05	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have written and submitted a registered report before	Not at all	Extremely helpful	We do some of that informally virtually all the time. We ask researchers we trust what they think about our design.	Very eager	If it's short and structured I'd be more than happy. It's fun and useful.	Very eager		Very interested	
07/10/2021 21:15:35	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have a good understanding of what it is	Very well	Helpful	Certainly, it would allow you pre-clear your study plans with the reviewers, reducing the risk of unexpected reviewer surprises, and hopefully catching errors in your design.	Reluctant	Increased workload for reviewers (more stuff to review).	Reluctant	I feel that this increases workload in such a way that it would not be beneficial. 	Rather not interested	I'm not opposed to them being part of the community, but I would likely choose not to participate on either end.
08/10/2021 02:24:49	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Reasonably well	Helpful	Not all research contributions are part of a quantitative study. 	Neutral		Eager	I'm sick of having studies picked apart on minute details after they are already completed. Feedback would be most welcome. 	Somehow interested	I would not want this to replace the openness of other types of papers that are accepted at VIS. This seems to make sense for controlled experiments, but not design studies, systems papers, etc.
08/10/2021 07:28:39	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Not very well	Very helpful	I think it would be nice as it would increase confidence in one's own analysis as it has been provisionally accepted in peer review. That said, this does depend on the quality of said peer review. A poor stage 1 peer review that is not rigorously performed is likely to be just as bad as an unregistered report with questionable research practices, as it can instill a false sense of confidence in readers.	Eager	It would certainly be nice as it reduces the level of scrutiny required on the analysis portion of the report, allowing a reviewer (or me) to focus more on the research contributions and applications. However, as mentioned above, this might incentivise sloppier reviewing where reviewers may just assume that since it's registered already, the analysis does not need to be inspected in detail a second time. Maybe if the reviewers during stage 2 do not know that it was preregistered? Not sure.	Neutral	Really depends on the research I'm doing. If the work is highly exploratory, then there wouldn't be much value in doing so. If the work had strict hypotheses and experimental conditions, then I would definitely consider it, especially if a fellow co-author was in favour of it.	Very interested	The concept of RRs seems nice as it allows for more straightfoward pathways into having work be published, minimising the effects of publish or perish, while also increasing scientific rigour.  I do wonder about the practicalities of it though. This is a very naive take, but I'd be curious if the burden of rejecting papers will shift from post-analysis to pre-analysis, such that 75% of papers will keep being rejected in the stage 1 peer review. Probably unlikely, but you never know.
08/10/2021 15:11:45	Yes	< 5 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Helpful		Neutral		Eager		Somehow interested	
08/10/2021 15:28:56	Yes	< 5 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Very helpful		Eager		Eager		Somehow interested	
08/10/2021 15:34:38	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have a good understanding of what it is	Very well	Helpful		Neutral		Eager		Somehow interested	
08/10/2021 16:35:50	Yes	< 5 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Somewhat helpful		Neutral		Neutral		Neutral	
08/10/2021 20:33:10	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Perfectly	Very helpful		Very eager		Eager		Very interested	
11/10/2021 10:03:31	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Not helpful at all	My research is very exploratory and interpreted. The methods we use change as the study proceeds based upon what we learn. I couldn't imagine having to decide a-priori as to what the specific methods are that we would employ over a longitudinal study. 	Reluctant	My expertise is not in areas that lend themselves to nifty statistics and controlled environments.	Very reluctant	I would have selected NA if that option had been available. This survey does not seem very inclusive to the broad range of methodologies used in VIS research. 	Neutral	
12/10/2021 05:02:17	Yes	< 5 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Perfectly	Extremely helpful		Very eager		Very eager		Very interested	
13/10/2021 12:55:31	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful		Neutral		Eager		Somehow interested	
13/10/2021 13:05:08	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Very helpful	constructive criticism is always good if it comes from the right person	Neutral	time is limited	Very reluctant	why should others know better than me, can they take my idea	Rather not interested	
13/10/2021 13:19:40	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful	Being an application researcher, most of the data I am usually working with has been collected already by the application scientists before they approach me. However, I can still see a great benefit of first describing my analysis approach and getting it reviewed before actually implementing it.	Neutral		Eager		Somehow interested	
13/10/2021 13:30:09	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful		Reluctant		Very reluctant		Neutral	
13/10/2021 13:37:55	Yes	5 to 10 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have never heard of it	Reasonably well	Somewhat helpful	While most reviewers are reasonable, there are often reviewers who believe the purpose of a review is to oppose one’s own view onto the authors. Failing to continue with the work because of unreasonable reviewers seems to make the whole process even more time consuming. I see this to be an issue for PhD student who have limited time and funding.	Neutral		Reluctant	Increasing time effort and the potential for unreasonable reviews make me reluctant.	Rather not interested	Implementing two review approaches seems odd. Either nobody chooses that option as it takes longer or everyone chooses it as papers submitted to the normal review process will judged harder (due to the missing pre-review).
13/10/2021 13:43:22	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Reasonably well	Very helpful		Very eager		Very eager		Somehow interested	
13/10/2021 13:54:09	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Helpful	This could stifle approaches and innovation by discouraging efforts early in the process.	Neutral	Question of time.	Neutral		Somehow interested	
13/10/2021 13:58:56	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Very well	Helpful	My relative conservatism with respect to the previous questions comes from the fact that I have never done it before. I see that we need to develop some different kind of expertise in writing and evaluating registered reports. The community also needs to build some guidelines and effective procedures.  Some thoughts or suggestions: - Reviewer's comments could be conflicting or suggest changes that are practically infeasible or disagree with researchers' intuition or goals (a reason might be that their submission was not completely clear). Allowing authors to respond fast and get new feedback might be important so that the agreed studies are not problematic. (reviewers are not necessarily more experts than the actual authors).    - The direct acceptance condition worries me a bit as it is often hard to identify a problematic study just based on its description. Small variations in experimental instructions or in an experimental apparatus can make a hue difference. As a reviewer, I may only realize a huge problem by looking on the reported results (or the raw data). See also my comments below. 	Eager	I am curious and interested. But still, this is something new to me. I think that the authors should be given much more space for describing their methodology  and the reviewing requirements for study methodologies will become stricter. My role now would be to give precise feedback about the experimental methodology and I would feel more responsible for possible failures. So the responsibility of the reviewer is greater, and of course, this requires additional reviewing time. This should be taken into consideration.	Eager	Again, I'm interested in exploring this possibility but not for all my papers. I think that for some type of research, this would be a very interesting direction. But not for others.  	Somehow interested	Yes, but as a complementary publication model (possibly exploratory as a first step as the community becomes more aware of its strengths and weaknesses).  (Note: it took me 40 minutes to answer the questionnaire.)
13/10/2021 14:03:42	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have a good understanding of what it is	Reasonably well	Not helpful at all	studies are well thought out and do not need peer review	Very reluctant		Very reluctant		Not interested at all	
13/10/2021 14:09:14	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Reasonably well	Very helpful	Review of methodologies are really important so that the study is as strong as it could be.	Neutral		Eager		Somehow interested	
13/10/2021 14:15:19	Yes	< 5 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Extremely helpful		Eager		Eager		Somehow interested	
13/10/2021 14:18:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Somewhat helpful	Could provide early feedback; but might turn into bureaucratic overhead	Reluctant	I need qualification and timely availability.	Reluctant		Very interested	Feels like the right thing to do
13/10/2021 14:21:33	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have never heard of it	Reasonably well	Very helpful		Eager		Eager		Somehow interested	
13/10/2021 14:27:17	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Extremely helpful		Eager		Eager		Somehow interested	
13/10/2021 14:31:16	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Helpful		Eager		Eager		Somehow interested	
13/10/2021 14:33:11	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Helpful		Neutral		Eager		Somehow interested	
13/10/2021 14:40:15	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Very helpful	To me stage 1 peer review was optional, depending on your ability to ask others, not something that was "part of the process"	Neutral		Eager		Somehow interested	
13/10/2021 14:42:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Somewhat helpful	Mostly we use data that others collected, sometimes they started long before. 	Neutral	My reviewing load is already high and I do not see how to reduce it. Thus, when I start a new line of reviewing activity, the question arises: How to get rid of some existing (reviewing) tasks.	Neutral		Neutral	
13/10/2021 14:42:29	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Somewhat helpful		Eager		Eager		Somehow interested	
13/10/2021 14:44:29	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Somewhat helpful	may not be fully adapted for HCI research where lot of variability exists during the devellopement phase. Adding some additional work may lead to further delay...	Reluctant	I am not sure that such practice will improve the quality of the validation	Reluctant		Somehow interested	
13/10/2021 14:49:48	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Helpful	Useful feedback (depending on quality of reviewers) but at the cost of delaying the full workflow. Would need this to be more reliable than current non-conference reviewing which can unpredictably take between a couple of weeks and over a year.	Neutral	I probably have insufficient experience always to be confident in assessing statistical validity of some reports.	Eager	Would be useful if method review period not too long.	Somehow interested	Would like to see 'failed' studies in particular. ie. those with credible methodology but whose findings do not support initial hypotheses being investigated.
13/10/2021 14:52:10	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a good understanding of what it is	Reasonably well	Somewhat helpful		Eager		Neutral		Somehow interested	
13/10/2021 14:53:11	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have never heard of it	Reasonably well	Helpful		Neutral		Reluctant	While I realize there is value in this, I also find it overkill, and not necessarily likely to yield meaningful insights to the authors. This is again likely to be highly dependent on which reviewer you get. I can't help but wonder how important this is for research that is gathering empirical evidence mostly for the purpose of validating visualization designs and interaction techniques... 	Somehow interested	
13/10/2021 14:54:59	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Eager		Neutral		Neutral	
13/10/2021 15:17:45	Yes	> 10 years	I have never heard of it	0 pre-registration	I have a vague notion of what it means	Reasonably well	Not helpful at all	A study requires some design and an iterative approach, at least in the areas I work in. Early findings provide insight as to what the true research questions are, and prompt toward the proper design to obtain refutable facts. A pre-registration is almost guaranteed to overtly constrain the research to reinforce preconceptions. There may be knowledge areas where it is justified. But it is a very bad idea in general for the conduct of science. 	Very reluctant	Sounds extremely tedious and not very useful. I already review funding request and research grants, which follow a similar pattern: authors explain what they want to do and we decide of funding based on what they propose. But we know that the work that will end up being done will be vastly different. Managing research funding under these constraints is already quite frustrating, I don't want to  further encourage these approach in research and innovation.	Reluctant	I already write research grants. That's enough overselling for me.	Not interested at all	
13/10/2021 15:18:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Reluctant	I would rather present my ideas as a workshop presentation / short paper / poster	Reluctant	1. time to get reviews; 2. sometimes reviews are not very constructive	Rather not interested	so far, I observe mostly negative impact in changes introduced to VIS. It is easy to break something working, but is quite difficult to create something useful
13/10/2021 15:25:56	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Very well	Helpful	On the one hand, I'm supportive of the idea of registered reports: they provide a sanity check on the soundness of a proposed study and can lower barriers to engaging in experimental research to people just getting involved in such study. On the other, they can lead to a false sense of complacency. Any experiment has potential confounds. While the registered report approach can catch some potential confounds or methodological flaws, the somewhat implicit (if unintentional) assertion that work adhering to the methods in an accepted report will be "sound" can give a false sense of security that may lead to complacency in investigating confounds after an experiment has been conducted. In other words, theory is different from practice. We often don't know how substantive any trade-off, flaw, or confound might be until execution or analysis.  	Neutral	Reviewers are already under heavy load. While the experimental visualization community is growing, the pool of reviewers with expertise in experimental methods is still relatively small. For those of us already reviewing 60+ manuscripts per year, the idea of significantly increasing the review load feels daunting both for reviewers and for editors/people seeking out reviewers.	Neutral	There are questions where the experimental methods are tricky (or even part of the contribution), in which case having additional input on the methods would be helpful. Other experiments are pretty straightforward, and having an expectation of prior methodological review would simply be yet another delay in the process of getting the results to the research community.	Neutral	While I support the idea in theory, I worry that an expectation would develop that all experimental work should require registered reports, in much the same way certain kinds of domain-oriented work are now pushed towards the corresponding satellite event rather than the core conference. This pressure is social rather than formal, so I'm not sure there's any way to avoid it. 
